baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMI56_000003-T1	90.3570298093806	2.72227878020037	0.418890365284621	6.4987858537894	8.09708226331772e-11	9.21681390964139e-10
HMI56_000007-T1	87.6463447355636	3.55485816238292	0.259008655780185	13.7248624053702	7.20658137150648e-43	4.62992316757548e-41
HMI56_000015-T1	26.9896730700691	3.64933611958356	0.632550942725498	5.76923670978896	7.96313854603563e-09	6.49124229220388e-08
HMI56_000024-T1	26.419091801125	4.44973679065557	0.974420478124727	4.56654687637425	4.95824198875679e-06	2.3536902014255e-05
HMI56_000028-T1	81.2048460569202	5.12880899047072	0.811302142347217	6.32170029236249	2.58700771919131e-10	2.69193949024357e-09
HMI56_000031-T1	56.2045288818937	2.22767455471566	0.405058381564828	5.49963821538434	3.80571291813197e-08	2.75456368588378e-07
HMI56_000032-T1	3.4925088640087	3.22501763652497	0.965363832716766	3.34072763783681	0.000835591498323281	0.00252927358927326
HMI56_000033-T1	35.358259041453	3.08201817698397	0.388692602957647	7.92919174054823	2.20576758230427e-15	4.49514087135716e-14
HMI56_000048-T1	68.3199934397635	2.00850348038889	0.396581033813788	5.06454749253583	4.09371574739716e-07	2.39648332671953e-06
HMI56_000050-T1	181.145773513149	2.44017611143747	0.237951780153627	10.2549184959324	1.12470845797462e-24	4.17961510779686e-23
HMI56_000060-T1	196.592998570296	3.58027386625911	0.564811523632036	6.33888247044972	2.31437695617605e-10	2.43795066120191e-09
HMI56_000067-T1	7.3486334333306	-2.03889614838833	0.619788281405908	-3.28966553508138	0.00100306536075923	0.00297156643216714
HMI56_000078-T1	57.7969870743879	3.06817258971667	0.388115226098297	7.90531363729494	2.67259832079139e-15	5.38855528455306e-14
HMI56_000081-T1	184.872929205975	2.00496281186759	0.166850428432034	12.0165278010317	2.90942114482408e-33	1.4802900469068e-31
HMI56_000095-T1	70.79297080522	7.44914311571289	1.139557106341	6.53687566359117	6.28172281591947e-11	7.28161172285711e-10
HMI56_000102-T1	6.87968676266538	4.0885498980067	1.07049062315257	3.81932341076098	0.0001338182188646	0.000484005685693001
HMI56_000103-T1	119.234952215152	2.63154457054772	0.303758080452113	8.66329075635101	4.58337421353966e-18	1.15054834148491e-16
HMI56_000104-T1	24.6351607696183	2.32873347438885	0.402910762113141	5.77977481210819	7.48006774281117e-09	6.13042092521637e-08
HMI56_000106-T1	1242.18410104473	-9.32443608150691	0.432804419598955	-21.5442256577396	5.99780053206841e-103	1.08260299603835e-100
HMI56_000123-T1	562.139586417815	4.73876000606526	0.867891856031752	5.46008119920864	4.75916867978618e-08	3.36874488902512e-07
HMI56_000130-T1	30.5027689441397	2.91051078866355	0.676158615782023	4.30447933477465	1.67378914474994e-05	7.189232581501e-05
HMI56_000132-T1	12.770212120992	5.09647258008037	1.03599354556222	4.91940572594453	8.68073657137869e-07	4.74809985192077e-06
HMI56_000133-T1	122.364323049554	2.3332501968433	0.467776782546443	4.98795640121718	6.10213347906021e-07	3.4419846655324e-06
HMI56_000145-T1	47.1863191978431	-4.79741121305932	0.352273573385548	-13.6184249274037	3.11207285615022e-42	1.94980366301445e-40
HMI56_000152-T1	35.7051334546076	2.06344614720222	0.538314643038184	3.83315998159808	0.00012650762054036	0.000459537264646129
HMI56_000159-T1	62.7239990498593	2.9476644927282	0.386871429631696	7.61923540214484	2.55182721609158e-14	4.65757721257952e-13
HMI56_000161-T1	362.784085274031	-2.16802151093863	0.158950861806492	-13.6395706591261	2.32927866540836e-42	1.47152179687173e-40
HMI56_000164-T1	160.919786500217	2.15510820924989	0.504832628147204	4.2689558659459	1.96390118394412e-05	8.31750551702814e-05
HMI56_000167-T1	4.09566048967048	3.34112466031453	0.994569874638005	3.35936644122728	0.000781214027733751	0.00237942287836463
HMI56_000172-T1	101.170245396888	6.45088306415494	1.44712497292996	4.4577235448394	8.28346352711634e-06	3.79208556757663e-05
HMI56_000186-T1	247.874081657495	2.99865750036187	0.736021287306161	4.07414507172335	4.61836875272473e-05	0.00018263877680963
HMI56_000194-T1	31.73085225107	3.38304314605017	0.382803754954895	8.83753908435091	9.78500147403032e-19	2.5579343508491e-17
HMI56_000214-T1	94.6404160160499	-2.25592395128157	0.284566401863983	-7.9275836377896	2.23451020424161e-15	4.54150720063154e-14
HMI56_000234-T1	8.58436916743752	2.19319613794782	0.746895526271719	2.93641621994392	0.00332028494271706	0.00869467362719793
HMI56_000244-T1	33.9791198457811	2.0308320312768	0.45740399096949	4.43990885818979	8.99969836287284e-06	4.07323661426502e-05
HMI56_000247-T1	76.0831534330594	-3.00369293948674	0.416082150219665	-7.21899013908909	5.2375052694486e-13	8.02131867630098e-12
HMI56_000251-T1	54.4255841457558	4.00739516675639	0.764529605835791	5.24164811430091	1.59148653314613e-07	1.00542161731507e-06
HMI56_000253-T1	519.895735647176	3.1927582556904	0.475305717942199	6.71727297856466	1.85156911348445e-11	2.3394575748876e-10
HMI56_000255-T1	97.4012151686965	3.90265363060529	0.549985823420124	7.09591677533863	1.28496791135238e-12	1.90632910684195e-11
HMI56_000262-T1	41.4441666748791	5.59512461357076	0.807299257554002	6.93066983676309	4.18852572325098e-12	5.75239375144306e-11
HMI56_000286-T1	11.9217545134916	3.25537060621162	0.603860288287533	5.3909334151504	7.00926445631792e-08	4.80879944283676e-07
HMI56_000287-T1	88.4990796316807	2.42716380413212	0.357183262919311	6.79528985847365	1.08094972996475e-11	1.40079998339534e-10
HMI56_000294-T1	22.3083942154982	-2.96097693494581	0.470279302772776	-6.29620933238573	3.05012408821526e-10	3.137447857905e-09
HMI56_000298-T1	135.704651894112	2.33062182369047	0.482891925291528	4.82638392075711	1.39034368584998e-06	7.27914052653917e-06
HMI56_000301-T1	222.231478158005	-2.49426505146227	0.202419143611553	-12.3222784513347	6.87247314129893e-35	3.61807075584633e-33
HMI56_000305-T1	19.5291883971908	4.30428665799563	0.845119247489975	5.09311161801068	3.52234185882868e-07	2.08290745957724e-06
