"","EarlyInf.rA","EarlyInf.rB","LateInf.rA","LateInf.rB","MiddleInf.rA","MiddleInf.rB","Sporangia0.rA","Sporangia0.rB","Sporangia24.rA","Sporangia24.rB","Sporangia36.rA","Sporangia36.rB","Sporangia48.rA","Sporangia48.rB"
"HMI56_000001-T1",65,210,139,179,218,208,859,414,418,102,660,461,462,637
"HMI56_000002-T1",1,13,7,10,8,4,42,19,37,1,32,28,27,32
"HMI56_000003-T1",2.00654197132144,7.05913409581127,28.1292954351073,18.0422413217097,12.0939658494736,12.0715105484036,112.778236408969,55.3475070386159,246.963977241749,51.2344168186772,480.209504279754,328.879719456381,326.883539796308,539.957367294731
"HMI56_000004-T1",244,652,622,580,883,864,2552,1330,1651,307,2819,1905,1774,2275
"HMI56_000005-T1",68,292,239,291,302,280,1117,610,752,156,695,480,785,622
"HMI56_000006-T1",88,259,169,218,368,350,1675,896,459,70,530,417,414,401
"HMI56_000007-T1",2,4,17,5,10,6,338,161,309,32,399,296,301,348
"HMI56_000008-T1",10,55,34,33,69,61,129,38,147,16,182,146,123,146
"HMI56_000009-T1",0.333333333333333,1,2.66666666666667,4,1,0.666666666666667,18,5.66666666666667,8.66666666666667,0,13,4.66666666666667,4.66666666666667,6.33333333333333
"HMI56_000010-T1",112,281,226,233,402,361,560,283,636,85,1159,784,714,1213
"HMI56_000011-T1",4,9,8,9,17,14,18,10,34,3,46,36,34,40
"HMI56_000012-T1",7,10,12,23,19,23,35,23,66,13,80,57,49,93
"HMI56_000013-T1",6,8,44,25,29,27,28,15,192,27,171,133,167,247
"HMI56_000014-T1",0,0,4,6,1,2,12,2,25,8,34,26,38,70
"HMI56_000015-T1",0,4,0,3,5,1,23,11,108,17,169,115,112,116
"HMI56_000016-T1",30,37,39,32,79,63,137,96,112,27,174,116,111,210
"HMI56_000017-T1",7,12,22,24,30,24,165,89,93,17,154,75,136,153
"HMI56_000018-T1",0,0,0,0,1,0,0,0,0,0,0,0,1,0
"HMI56_000019-T1",13,45,40,36,36,60,87,35,120,4,131,107,88,120
"HMI56_000020-T1",76,153,209,237,235,214,1065,544,538,123,957,689,871,1379
"HMI56_000021-T1",12,14,15,20,19,26,47,16,105,15,135,100,131,187
"HMI56_000022-T1",41,135,109,138,143,177,373,209,351,47,258,168,175,152
"HMI56_000023-T1",40,95,94,113,164,126,790,368,190,21,211,152,173,210
"HMI56_000024-T1",0,0,4,1,0,2,14,2,29,2,248,144,177,204
"HMI56_000025-T1",19,72,57,61,133,115,103,47,145,10,124,93,104,90
"HMI56_000026-T1",114,278,351,347,405,339,524,269,549,106,1079,763,854,954
"HMI56_000027-T1",12,23,43,48,44,45,118,68,227,25,234,149,165,154
"HMI56_000028-T1",0,1,5,1,4,4,3,14,272,40,582,390,364,585
"HMI56_000029-T1",51,172,210,195,204,202,408,214,983,160,1131,831,893,851
"HMI56_000030-T1",70,223,189,287,247,252,1313,692,425,118,903,587,811,753
"HMI56_000031-T1",2,2,28,14,11,6,181,74,239,29,183,130,280,143
"HMI56_000032-T1",0,0,1,1,0,0,6,7,18,0,16,12,9,23
