"","EarlyInf.rA","EarlyInf.rB","LateInf.rA","LateInf.rB","MiddleInf.rA","MiddleInf.rB","Sporangia0.rA","Sporangia0.rB","Sporangia24.rA","Sporangia24.rB","Sporangia36.rA","Sporangia36.rB","Sporangia48.rA","Sporangia48.rB"
"HMI56_000033-T1",2,0,7,4,6,5,91,44,86,17,173,112,128,209
"HMI56_000034-T1",103.803221173191,255.498993090878,236.75422785143,287,339.441084058682,352.346242397103,3184.486266138,1837.96653677964,1320.4678574369,216,1598.17974915895,1046.75552897803,1188.58345319329,1224.36977790586
"HMI56_000035-T1",69,154,171,158,233,252,1962.56198132801,1057,537.634162319335,79,641.325991832681,481.794753076891,464.073792188451,455.382147727769
"HMI56_000036-T1",46,65,104,121,124,153,489,239,460,72,495,361,404,404
"HMI56_000037-T1",1,2,0,4,0,4,5,4,15,0,23,15,16,10
"HMI56_000038-T1",6,19,3,8,2,18,37,18,97,24,87,92,83,118
"HMI56_000039-T1",31,120,64,71,137,132,260,131,107,27,294,204,202,261
"HMI56_000040-T1",1,12,12,14,9,13,84,27,103,18,106,88,117,191
"HMI56_000041-T1",117,269,184,182,427,388,822,388,528,83,842,585,535,823
"HMI56_000042-T1",29,55,37,43,69,69,284,176,162,33,198,150,149,187
"HMI56_000043-T1",60,172,128,128,232,188,626,313,410,79,617,462,450,566
"HMI56_000044-T1",0,14,20,36,27,24,77,35,99,8,105,68,79,81
"HMI56_000045-T1",17,42,54,37,49,55,152,76,95,16,141,119,121,171
"HMI56_000046-T1",69,229,182,202,276,287,1295,687,680,95,1106,842,827,849
"HMI56_000047-T1",114,228,249,227,327,258,728,415,840,176,1140,798,855,927
"HMI56_000048-T1",5,16,24,13,12,17,100,42,144,41,241,188,223,521
"HMI56_000049-T1",32,63,155,151,95,102,500,202,1174,183,1095,804,1048,748
"HMI56_000050-T1",5,24,43,54,34,29,798,419,427,80,651,505,522,563
"HMI56_000051-T1",80,156,212,195,260,242,782,459,1008,152,947,678,653,619
"HMI56_000052-T1",92,182,204,217,267,228,1644,937,525,119,852,646,751,884
"HMI56_000053-T1",33,93.4511067803396,104.669571653708,117,159,145.533093077597,567.733768252438,242.70349449791,364,54,652.321235239969,445,394.882357185205,544
"HMI56_000054-T1",0,0,0,1,2,2,3,1,1,0,3,0,3,0
"HMI56_000055-T1",51,118,106,100,146,148,251,127,338,40,436,311,287,430
"HMI56_000056-T1",0,7,12,9,6,6,38,16,114,13,128,83,92,165
"HMI56_000057-T1",308,1085,2195,1940,1267,1204,5311,2299,11412,1444,7688,5054,8341,6686
"HMI56_000058-T1",50,181,145,135,213,202,919,434,685,111,753,558,601,599
"HMI56_000059-T1",3,4,7,4,5,8,31,7,65,8,72,38,41,70
"HMI56_000060-T1",5,25,22,15,12,15,76,30,614,79,1668,984,906,925
"HMI56_000061-T1",3,14,55,73,44,44,44,26,186,31,244,164,179,192
"HMI56_000062-T1",74,156,228,222,229,228,536,259,984,156,1218,825,865,879
"HMI56_000063-T1",0,1,4,4,4,14,67,24,16,1,14,19,7,12
"HMI56_000064-T1",84,193,198,205,283,246,1483,688,458,78,918,655,542,811
"HMI56_000065-T1",33,60,49,61,113,103,146,83,159,54,269,243,188,283
"HMI56_000066-T1",6,17,16,22,29,24,58,28,48,20,129,105,85,160
"HMI56_000067-T1",0,14,5,7,12,10,0,2,11,1,5,9,8,10
"HMI56_000068-T1",9,48,26,29,46,23,92,42,154,9,114,94,106,106
"HMI56_000069-T1",20,37,30,47,43,30.8978398663298,30.7606984832306,6,81,12,65,60,82,36
"HMI56_000070-T1",3,0,6,15,8,2,10,6,13,5,24,8,13,11
"HMI56_000071-T1",42,130,91,132,162,148,700,378,246,60,498,325,329,392
"HMI56_000072-T1",0,2,2,9,4,11,50,18,43,7,31,17,90,64
"HMI56_000073-T1",0,0,0,2,0,1,0,0,0,0,0,0,0,0
"HMI56_000074-T1",56,121,174,207,156,178,1229,519,748,109,926,568,714,749
"HMI56_000075-T1",14,54,63,63,89,65,619,221,400,54,455,318,378,301
"HMI56_000076-T1",1,3,0,0,0,1.0319073122911,2.16663247251536,1.08107964898247,5.31363042223895,0,2.09648808011298,2.24330767434198,3.24278601873025,0
"HMI56_000077-T1",0,0,0,0,0,0,6,4,19,0,0,3,5,1
"HMI56_000078-T1",3,6,10,4,8,8,347,184,125,16,244,138,127,177
"HMI56_000079-T1",17,31,16,30,33,46,43,17,37,2,47,35,30,37
"HMI56_000080-T1",29,52,83,105,94,68,606,290,372,61,515,363,410,538
"HMI56_000081-T1",7,41,53,55,46,41,613,307,408,98,746,575,532,679
"HMI56_000082-T1",53,152,188,207,220,208,1001,498,694,128,848,679,719,724
"HMI56_000083-T1",14,37,70,31,39,43,183,96,529,112,830,608,588,928
"HMI56_000084-T1",28,65,80,62,123,92,545,267,270,47,414,269,252,313
"HMI56_000085-T1",39,103,164,182,183,155,215,89,722,94,773,428,531,376
"HMI56_000086-T1",3,8,8,24,18,23,76,29,23,3,86,58,46,80
"HMI56_000087-T1",26,83,48,96,109,102,261,159,152,28,290,203,217,322
"HMI56_000088-T1",32,151,116,155,166,150,539,269,474,77,608,447,403,591
"HMI56_000089-T1",13,54,49,44,76,79,199,104,79,19,190,142,150,202
"HMI56_000090-T1",71,245,199,255,296,306,652,335,503,90,662,508,460,573
"HMI56_000091-T1",1,2,0,0,0,0,4,1,2,0,2,2,2,7
"HMI56_000092-T1",1,0,2,1,0,1,0,2,4,0,2,3,5,7
"HMI56_000093-T1",130,289,313,274,399,393,1115,585,738,125,1048,729,895,872
"HMI56_000094-T1",28,92,82,59,133,115,241,131,263,24,388,285,270,348
"HMI56_000095-T1",1,0,0,1,0,0,5,4,251,41,636,403,323,412
"HMI56_000096-T1",46,115,112,123,186,135,1572,767,213,42,347,238,255,309
"HMI56_000097-T1",75,181,144,128,212,227,2021,1267,613,142,661,483,497,628
"HMI56_000098-T1",31,99,193,178,109,116,321,181,192,70,535,353,564,465
"HMI56_000099-T1",4,28,44,36,29,31,112,56,193,21,376,228,263,252
"HMI56_000100-T1",0,5,12,14,2,5,24,14,114,20,113,103,110,50
"HMI56_000101-T1",20,79,133,150,133,100,2471,1160,590,124,850,545,1392,989
"HMI56_000102-T1",0,0,0,0,2,0,2,2,21,4,50,34,35,43
"HMI56_000103-T1",5,15,24,26,22,15,190,104,380,65,584,440,488,529
"HMI56_000104-T1",1,1,6,12,4,4,46,29,103,13,105,85,79,77
"HMI56_000105-T1",22,33,27,51,34,57,109,55,66,25,266,193,240,257
"HMI56_000106-T1",666,2511,894,1201,2562,2382,20,14,3,0,6,4,5,10
"HMI56_000107-T1",116,427,361,390,552,548,1216,497,1058,147,1582,1109,1220,1656
"HMI56_000108-T1",62,111,113,109,136,148,519,235,488,51,466,285,362,337
"HMI56_000109-T1",33,66,56,62,83,59,281,116,209,39,222,140,205,170
"HMI56_000110-T1",14,54,55,56,44,52,181,90,358,35,314,232,262,206
"HMI56_000111-T1",25,123,119,139,187,158,547,263,477,66,633,427,460,422
"HMI56_000112-T1",27,50,34,32,70,57,247,100,154,14,186,145,142,225
"HMI56_000113-T1",90,266,279,251,350,353,722,324,684,103,1019,774,801,1071
"HMI56_000114-T1",20,47,77,78,97,52,396,183,314,64,469,341,318,554
"HMI56_000115-T1",21,51,182,172,70,78,863,419,1085,148,622,431,700,382
"HMI56_000116-T1",24,83,179,224,103,93,1068,489,1153,167,825,565,767,561
"HMI56_000117-T1",23,85,107,161,124,121,1063,535,705,137,717,520,556,436
"HMI56_000118-T1",43,137,130,122,199,146,677,335,395,88,591,396,509,584
"HMI56_000119-T1",1,4,4,0,2,3,19,6,4,0,8,5,11,13
"HMI56_000120-T1",143,301,282,369,456,393,1696,792,759,97,1060,691,903,1003
"HMI56_000121-T1",30,53,80,76,76,103,1386,821,383,68,483,300,370,386
"HMI56_000122-T1",0,2,6,6,5,2,58,15,21,9,31,15,20,14
"HMI56_000123-T1",16,21,11,20,23,18,143,71,132,37,2812,1999,6839,4438
"HMI56_000124-T1",0,1,0,0,0,0,5,0,1,0,2,0,0,1
"HMI56_000125-T1",1,6,6,10,3,3,16,12,28,7,22,15,36,18
"HMI56_000126-T1",1,17,54,46,10,11,531,256,88,30,155,106,173,156
"HMI56_000127-T1",17,125,311,324,65,77,3997,1938,933,185,1066,822,1243,1075
"HMI56_000128-T1",17,83,79,103,113,115,653,319,223,54,254,190,219,223
"HMI56_000129-T1",9,47,41,48,55,43,444,223,188,33,143,114,170,144
"HMI56_000130-T1",0,1,14,1,2,5,19,10,121,19,142,114,119,210
"HMI56_000131-T1",1,6,20,6.14582027786536,5,5,38,14,74,20,109,75,113,164
"HMI56_000132-T1",0,0,0,0,1,1,5,4,23,13,69,44,49,97
"HMI56_000133-T1",5,24,45,18,26,10,90,51,341,74,657,449,492,727
"HMI56_000134-T1",8,20,12,3,22,18,45,21,18,8,61,40,42,79
"HMI56_000135-T1",45,74,97,94,113,93,2143,1207,320,73,653,435,678,772
"HMI56_000136-T1",49.2530804769521,93.1726404911519,132.848103941285,119.747147560566,170.67333405015,149.319071690186,1993.18258128681,1202.8929258309,336.725705046251,91.2409358127966,658.977423661492,426.372822477146,576.852161730579,581.179347287081
"HMI56_000137-T1",3,7,17,10,10,8,130,42,94,13,85,64,69,89
"HMI56_000138-T1",19,59,51,41,90,73,207,77,139,12,128,107,119,132
"HMI56_000139-T1",149,406,340,335,501,498,1027,516,612,135,1490,1032,950,1708
"HMI56_000140-T1",0.666666666666667,0,0,0.666666666666667,1,1.33333333333333,0.666666666666667,1,0,0,0,0.333333333333333,0,0
"HMI56_000141-T1",2,53,50,51,59,70,185,66,154,19,183,129,155,171
"HMI56_000142-T1",67,161,120,148,261,251,2406,1241,270,69,380,284,257,337
"HMI56_000143-T1",126,263,249,315,346,297,1154,576,520,152,1296,876,1045,1582
"HMI56_000144-T1",17,41,73,64,50,58,249,150,512,72,485,342,381,463
"HMI56_000145-T1",24,83,56,39,98,64,3,3,10,4,7,6,9,9
"HMI56_000146-T1",1,11,8,5,7,9,21,5,13,3,19,17,19,16
"HMI56_000147-T1",16,79,108,126,109,87,152,89,526,63,601,434,502,596
"HMI56_000148-T1",156,350,337,284,632,496,507,227,407,48,503,407,419,524
"HMI56_000149-T1",18,39,75,57,62,66,595,308,135,32,193,165,190,183
"HMI56_000150-T1",9,33,37,54,50,44,384,187,148,11,142,102,95,120
"HMI56_000151-T1",0,1,1,0,1,0,3,2,3,0,2,1,3,0
"HMI56_000152-T1",4,4,15,9,5,3,33,12,178,10,199,150,125,169
"HMI56_000153-T1",0,0,0,0,0,0,4,0,0,0,0.5,0,0,1
"HMI56_000154-T1",65,94,120,137,146,163,1106,522,288,38,461,312,379,439
"HMI56_000155-T1",33,69,57,62,70,97,292,166,115,43,230,148,193,265
"HMI56_000156-T1",20,55,47,74,111,96,206,82,95,46,250,209,194,349
"HMI56_000157-T1",17,31,40,27,59,66,144,53,74,12,127,128,108,200
"HMI56_000158-T1",0,5,1,11,6,7,16,5,37,1,24,16,8,11
"HMI56_000159-T1",1,10,5,7,17,8,89,49,244,34,345,237,217,304
"HMI56_000160-T1",23,47,52,50,83,63,132,66,76,6,140,108,95,147
"HMI56_000161-T1",171,460,274,338,489,502,390,152,295,55,345,275,247,317
"HMI56_000162-T1",70,161.5943851527,195,202.506377525488,203,199.41727887673,1023,542,609,157,973,606,789,738
"HMI56_000163-T1",3,14,23,25,14,29,27,8,138,22,275,161,155,173
"HMI56_000164-T1",1,33,69,49,23,28,150,54,572,71,717,491,723,1026
"HMI56_000165-T1",10,32,32,40,54,38,52,14,123,15,147,123,120,131
"HMI56_000166-T1",41,137,152,166,165,170,685,288,253,84,728,449,503,651
"HMI56_000167-T1",0,0,2,0,0,0,3,3,14,4,27,15,15,10
"HMI56_000168-T1",0,0,0,0,0,0,0,0,2,0,0,1,1,1
"HMI56_000169-T1",93,242,192,235,376,306,1615,714,675,119,726,516,624,734
"HMI56_000170-T1",8,42,49,29,52,48,87,40,236,24,231,189,186,165
"HMI56_000171-T1",46,163,209,188,291,222,1020,461,933,105,1176,980,816,916
"HMI56_000172-T1",1,2,1,2,0,0,3,4,10,0,448,278,1426,885
"HMI56_000173-T1",14,48,38,54,82,56,103,50,117,26,117,80,87,107
"HMI56_000174-T1",43,99,86,81,94,96,198,96,273,50,304,276,278,273
"HMI56_000175-T1",57,100,102,152,170,159,1091,633,408,77,477,350,351,467
"HMI56_000176-T1",63,112,190,232,180,184,1029,662,709,151,1186,735,833,954
"HMI56_000177-T1",63.3859133602633,233.000868584094,123.60984821828,153.943199244936,297.691523076678,246.756659774733,1157.64075248651,610.692209241873,287.577682315258,54.3377198490734,516.171963954629,341.380755006503,399.476947617732,509.872038278916
"HMI56_000178-T1",65,160,129,182,191,198,684,306,541,96,658,470,491,475
"HMI56_000179-T1",1643,4032,3284,3327,5798,5278,4200,2077,7884,1353,12856,9010,10041,11193
"HMI56_000180-T1",9,48,80,50,72,52,347,139,242,27,292,225,245,245
"HMI56_000181-T1",50,106,130,141,207,168,352,138,451,69,673,458,545,623
"HMI56_000182-T1",29,69,60,56,74,64,668,338,192,53,259,173,195,170
"HMI56_000183-T1",21,27,33,32,22,21,330,201,177,31,152,103,133,103
"HMI56_000184-T1",0,5,3,2,2,3,24,16,24,7,40,28,32,27
"HMI56_000185-T1",90,263,170,210,252,338,843,559,714,120,801,556,553,652
"HMI56_000186-T1",21.0124108855185,22,9,25.0349285652469,41.051396479799,39.1541011106645,16.0154444668626,6.00528709808398,665.391949335569,105.332990812175,2094.79291549796,1427.06219085541,1117,1038.24350742046
"HMI56_000187-T1",383,954,1031,1124,1196,1204,3162,1770,2974,642,3904,2822,3212,4826
"HMI56_000188-T1",60,112,102,113,149,146,839,464,470,98,464,302,344,415
"HMI56_000189-T1",60,116,125,134,173,185,450,286,460,88,546,460,475,517
"HMI56_000190-T1",47,107,112,107,188,146,644,288,388,48,644,460,425,768
"HMI56_000191-T1",9,56,70,62,85,75,94,43,120,25,158,114,131,182
"HMI56_000192-T1",210,472,416,479,594,615,2092,1294,707,206,1278,915,1011,1323
"HMI56_000193-T1",13,52,64,103,71,66,862,400,328,79,358,249,252,290
"HMI56_000194-T1",0,5,5,3,1,4,130,47,99,12,146,118,103,150
"HMI56_000195-T1",40,79,89,80,136,109,1071,491,372,51,522,384,484,533
"HMI56_000196-T1",711,1482,1065,1328,2276,2205,1273,585,3317,487,4682,2968,2506,2250
"HMI56_000197-T1",39,138,89,75,201,147,292,105,182,21,298,235,276,479
"HMI56_000198-T1",67,156,112,126,274,211,585,250,222,34,455,361,342,424
"HMI56_000199-T1",76,202,192,181,296,249,683,312,462,77,698,504,462,517
"HMI56_000200-T1",18,88,62,61,125,106,648,280,160,46,386,310,307,467
"HMI56_000201-T1",42,128,103,56,150,159,1049,470,480,64,824,585,546,756
"HMI56_000202-T1",42,192,281,383,207,218,1596,776,936,151,890,656,732,634
"HMI56_000203-T1",66,219,164,128,245,236,342,196,210,41,507,333,260,394
"HMI56_000204-T1",2,14,9,9,18,11,55,26,102,11,70,57,58,69
"HMI56_000205-T1",21,38,51,60,72,65,50,24,156,11,167,145,163,181
"HMI56_000206-T1",0,3,0,0,1,7,2,0,0,0,3,5,4,4
"HMI56_000207-T1",4,11,25,24,16,14,82,36,161,22,130,120,108,97
"HMI56_000208-T1",14,40,41,29,55,52,52,28,75,11,114,91,76,102
"HMI56_000209-T1",23,84,77,96,112,87,232,110,255,31,408,263,220,286
"HMI56_000210-T1",0,14,11,17,15,17,115,59,60,12,51,39,33,43
"HMI56_000211-T1",2,15,32,40,8,6,278,155,248,45,201,143,164,216
"HMI56_000212-T1",60,157,167,139,218,193,777,406,556,131,773,483,546,809
"HMI56_000213-T1",39,101,82,91,115,121,335,154,271,45,379,288,250,287
"HMI56_000214-T1",41,114,86,85,137,134,30,18,105,16,105,85,87,78
"HMI56_000215-T1",189,401,337,440,563,574,2161,1341,579,134,1240,876,977,1209
"HMI56_000216-T1",0,2,8,2,7,0,15,14,46,14,42,21,32,53
"HMI56_000217-T1",2,6,7,6,7,5,26,18,33,6,38,13,27,45
"HMI56_000218-T1",106,246,269,286,377,429,1208,584,522,99,904,635,701,927
"HMI56_000219-T1",98,323,329,315,402,402,853,350,933,125,1335,982,1039,1456
"HMI56_000220-T1",36,134,144,149,166,215,534,289,469,88,515,351,441,456
"HMI56_000221-T1",72,180,181,218,206,253,927,478,759,101,1034,765,715,599
"HMI56_000222-T1",70.4726317645396,135.328701135005,139.624866653482,176.066572952768,235.355374586292,199.373177484509,1349.57488179218,765.629754838666,692.735492106502,110.384942853981,923.217959868821,635.670204930331,678.998099745608,691.548342008262
"HMI56_000223-T1",0,4,0,0,3,0,6,1,6,0,10,10,13,18
"HMI56_000224-T1",2,0,3,2,0,2,3,2,7,4,11,10,6,6
"HMI56_000225-T1",0,0,0,0,0,0,1,0,0,0,4,1,3,0
"HMI56_000226-T1",24,74,53,97,88,86,393,229,155,35,237,144,196,193
"HMI56_000227-T1",0,5,1,4,2,11,67,35,36,10,24,19,24,39
"HMI56_000228-T1",26,108,83,92,109,137,500,250,257,51,295,195,235,228
"HMI56_000229-T1",109,374,339,344,492,430,1607,892,908,175,1382,978,926,1151
"HMI56_000230-T1",56,210,159,206,252,264,469,194,431,64,552,335,468,514
"HMI56_000231-T1",544,1388,1254,1200,2004,1792,1444,629,3008,431,4310,3171,3558,3739
"HMI56_000232-T1",41,91,79,88,131,147,153,65,300,36,333,210,208,200
"HMI56_000233-T1",91,232,237,228,281,264,156,83,674,110,737,486,609,570
"HMI56_000234-T1",0,1,6,3,0,0,19,2,40,2,28,28,46,44
"HMI56_000235-T1",0,0,0,0,0,0,1,0,2,0,0,0,0,0
"HMI56_000236-T1",0,0,0,1,1,1,52,15,5,4,4,3,3,1
"HMI56_000237-T1",0,5,22,18,7,8,29,12,34,6,24,21,32,17
"HMI56_000238-T1",5,43,121,109,29,30,498.4548628854,197.861854237993,453.215007341734,56,444.96847320808,308.875772555701,454.82549640528,384.898014877878
"HMI56_000239-T1",38,84,75,122,102,104,967,549,447,93,544,355,471,459
"HMI56_000240-T1",110,231,198,210,368,322,316,165,350,64,486,370,374,556
"HMI56_000241-T1",1,7,6,6,8,17,104,44,33,13,55,27,46,52
"HMI56_000242-T1",0,2,0,2,2,3,19,12,14,3,4,8,7,3
"HMI56_000243-T1",221,532,521,628,653,638.351002051631,1648.10880975439,1002,1606,342,2270,1638,1812,1764
"HMI56_000244-T1",2,16,4,7,7,8,34,29,105,9,247,157,107,120
"HMI56_000245-T1",1,0,3,1,2,0,7,2,4,1,3,2,2,4
"HMI56_000246-T1",55,124,145,167,341,236,1280,627,419,76,616,309,406,375
"HMI56_000247-T1",18,155,65,64,125,127,10,5,44,5,81,42,57,59
"HMI56_000248-T1",59,174,111,132,240,205,167,85,164,32,270,164,162,307
"HMI56_000249-T1",46,93,93,119,144,134,643,320,336,69,408,295,331,390
"HMI56_000250-T1",39,109,87,120,138,141,518,215,183,44,349,226,278,430
"HMI56_000251-T1",3,3,3,3,0,6,26,23,32,7,265,197,594,397
"HMI56_000252-T1",19,64,111,83,111,121,331,151,313,51,416,275,274,336
"HMI56_000253-T1",17,45,88,54,65,55,271,119,1909,284,3336,2324,2255,2610
"HMI56_000254-T1",23,75,234,176,95,70,427,202,920,120,1071,713,936,1117
"HMI56_000255-T1",0,3,18,9,2,6,110,43,358,52,618,395,439,550
"HMI56_000256-T1",1,8,24,27,30,24,89,42,176,14,150,103,170,126
"HMI56_000257-T1",18,65,68,78,100,86,194,108,268,45,355,262,290,277
"HMI56_000258-T1",22,62,96,103,102,78,290,117,207,29,452,288,345,421
"HMI56_000259-T1",42,93,38,79,146,150,878,465,300,66,459,339,326,429
"HMI56_000260-T1",3,4,11,5,7,4,85,51,54,6,64,31,40,37
"HMI56_000261-T1",7,16,25,18,31,13,155,88,61,4,93,83,100,82
"HMI56_000262-T1",0,1,4,0,0,0,69,16,111,27,166,162,148,398
"HMI56_000263-T1",33,68,100,100,107,113,232,100,374,52,565,399,412,580
"HMI56_000264-T1",104,331,322,294,401,370,1051,472,925,146,1374,983,969,1126
"HMI56_000265-T1",52,157,151,131,202,204,336,195,338,36,437,303,274,329
"HMI56_000266-T1",178,375,315,302,569,559,491,270,581,119,1141,856,764,1177
"HMI56_000267-T1",89,235,224,294,337,324,722,359,537,92,772,602,700,688
"HMI56_000268-T1",164.060316259995,703.504993649429,1465.73156692698,1565.81666232554,569.787236464313,712.333827373775,3413.72726947836,1530.01474881758,8387.11961124031,1091.27746109397,5339.54787017704,3681.37531905739,5608.53363847609,3268.5763101366
"HMI56_000269-T1",5,4,9,17,10,14,12,13,42,7,55,34,26,29
"HMI56_000270-T1",21,71,70,79,99,72,206,101,185,32,288,225,204,319
"HMI56_000271-T1",38,98,194,181,189,131,2796,1233,1004,117,949,665,805,861
"HMI56_000272-T1",23,73,132,137,95,96,1708,739,447,66,611,405,532,526
"HMI56_000273-T1",42,135,96,97.284093439391,152.40710196321,112,506.974464314301,294,376.026898470812,57.0749355934297,423.337580376646,294.922836211911,307,444.219249718799
"HMI56_000274-T1",138,339,305,281,570,431,297,153,370,69,936,711,617,973
"HMI56_000275-T1",23,57,43,57,79,81,34,14,31,6,123,83,72,112
"HMI56_000276-T1",508,1538,2131,2045,1926,1720,5111,2425,7602,1425,12163,9208,9667,7724
"HMI56_000277-T1",9,28,23,57,33,52,289,165,236,18,263,146,168,192
"HMI56_000278-T1",45,117,94,84,215,212,782,387,291,38,463,323,366,431
"HMI56_000279-T1",72,171,212,215,215,173,718,347,525,104,780,560,559,672
"HMI56_000280-T1",219,549,540,506,952,843,612,249,1525,214,1786,1316,1489,2925
"HMI56_000281-T1",17,46,43,35,54,59,53,30,190,23,323,229,207,215
"HMI56_000282-T1",0,5,8,14,13,9,78,34,58,7,31,24,37,19
"HMI56_000283-T1",35,85,93,84,119,115,297,168,458,92,1558,1076,1022,1329
"HMI56_000284-T1",24,39,69,57,47,54,433,208,281,32,333,237,260,325
"HMI56_000285-T1",0,0,0,0,0,0,2,0,2,0,1,2,4,1
"HMI56_000286-T1",0,1,4,1,0,1,30,16,33,9,49,36,37,58
"HMI56_000287-T1",5,11,18,16,17,24,122,71,174,38,479,318,383,525
"HMI56_000288-T1",8,7,18,22,26,20,73,25,76,4,95,67,54,83
"HMI56_000289-T1",23,56,33,75,62,59,268,139,315,45,332,229,290,303
"HMI56_000290-T1",17,15,45,24,32,23,120,62,103,27,126,134,93,160
"HMI56_000291-T1",1347,3139,2411,2461,4592,4142,3980,1735,6838,1070,10802,8056,8043,9273
"HMI56_000292-T1",3,5,13,2,11,14,35,17,35,17,29,24,27,34
"HMI56_000293-T1",61,183,179,171,281,261,634,360,378,56,560,434,509,561
"HMI56_000294-T1",14,30,7,17,45,35,3,1,13,1,24,14,14,22
"HMI56_000295-T1",34,66,91,104,98,89,130,62,592,83,538,402,462,392
"HMI56_000296-T1",27,88,64,81,140,80,311,150,269,41,324,213,228,340
"HMI56_000297-T1",38,98,137,129,99,138,367,161,632,101,694,529,462,459
"HMI56_000298-T1",2,17,43,46,10,34,126,53,420,84,746,516,569,603
"HMI56_000299-T1",44,134,182,142,177,193,434,274,638,94,740,508,508,567
"HMI56_000300-T1",22,101,178,210,132,113,275,113,508,102,788,468,547,772
"HMI56_000301-T1",75,316,186,179,425,321,131,59,154,24,265,159,158,178
"HMI56_000302-T1",147,399,337,370,606,540,1391,809,1241,232,1255,860,1181,1149
"HMI56_000303-T1",57,216,95,138,261,227,137,79,192,20,240,163,160,205
"HMI56_000304-T1",177,494,395,405,744,686,904,461,1223,226,1978,1546,1601,2805
"HMI56_000305-T1",0,0,1,3,1.23106300789684,1.23335695024518,17.9999999302389,1.27496391744866,91.5826946251707,14.3979708103813,86.3327550053074,62.5324561215297,87.8008032865518,138.505413627421
"HMI56_000306-T1",7.5,26.5,27,26,48.5,35.5,90,30,140.5,29,210.5,167,163.5,242
"HMI56_000307-T1",0,0,0,0,0.768936992103158,0.76664304975482,6.97611314306916e-08,4.72503608255134,6.41730537482925,1.60202918961872,16.6672449946926,11.4675438784703,9.19919671344823,7.4945863725786
"HMI56_000308-T1",7.5,26.5,27,26,48.5,35.5,90,30,140.5,29,210.5,167,163.5,242
"HMI56_000309-T1",35,87,136,130,110,112,506,264,385,65,481,334,301,331
"HMI56_000310-T1",2,0,0,4,1,5,28,22,11,1,83,68,194,122
"HMI56_000311-T1",29,98,153,113,156,106,576,278,777,128,1254,1012,936,1451
"HMI56_000312-T1",0,10,19,12,9,7,60,24,183,37,525,327,317,302
