"","EarlyInf.rA","EarlyInf.rB","LateInf.rA","LateInf.rB","MiddleInf.rA","MiddleInf.rB","Sporangia0.rA","Sporangia0.rB","Sporangia24.rA","Sporangia24.rB","Sporangia36.rA","Sporangia36.rB","Sporangia48.rA","Sporangia48.rB"
"HMI56_000001-T1",19.5173530129288,20.2430664746544,15.3345170126608,17.4349242301025,17.0790312002676,17.0009094232229,34.9539004088824,36.1846652620417,15.5882906308727,27.3017360744885,23.5565643714032,21.7627277367997,18.6614401246232,27.6355630479312
"HMI56_000002-T1",4.89606123175532,23.8286716967619,14.3973000436737,18.4502533390854,11.1579536929985,5.83017191258629,28.556391205645,25.9949022768302,22.8928485801813,3.66578532439221,18.4496074920152,23.1317613600722,18.2790324893736,21.2486279139593
"HMI56_000003-T1",0.76945349724469,0.867690457669689,3.95504674011535,2.23968873481132,1.2087209998047,1.25873641422025,5.90729086142783,6.22695577288971,11.9207603937103,17.7004070901874,22.1142336722138,20.1198537193404,17.0098018718009,30.4232606038834
"HMI56_000004-T1",279.938888138942,245.328905626561,276.474926072377,220.910173872882,266.707998002913,275.487713913363,388.590059440641,432.769889272115,234.760605874791,303.033957697917,379.950486584985,348.044256523571,272.804295843853,365.622177239404
"HMI56_000005-T1",57.5408350084514,81.5376356763609,77.8145440850365,82.303023226941,68.0870343133237,65.8221495261993,130.586975322163,150.45346700754,79.632271249129,116.229751740693,70.3308224689471,66.5393094364533,90.865947488812,76.5087055292141
"HMI56_000006-T1",25.5860218345627,24.0455529427857,18.4188578653899,20.7594006755322,27.7011488093627,27.7541041122375,66.3588168669202,75.622570316212,16.5877554470955,18.5065068935934,18.4343289971029,19.250782917547,16.5676481456613,16.7523929267885
"HMI56_000007-T1",0.643684538121203,0.41879424188644,2.04781137222703,0.528039068323561,0.849019920427989,0.533091894482139,14.7074083121236,14.9205347698097,12.3673055538495,9.24669812252407,15.2623226731894,15.0427262548651,13.1090686487172,16.143177491874
"HMI56_000008-T1",67.3953380475606,139.111155394489,90.5826590371872,82.4456882787907,130.45531820672,121.01738577908,120.344074401414,71.0935533933915,124.017998561187,77.9268127969523,143.203367342283,163.825087086328,111.699421564438,130.736363230536
"HMI56_000009-T1",11.2658324951689,10.3738384347718,39.0788288834395,47.7095153417186,9.9602784221245,6.24287456622636,109.492744751984,70.9975161392181,46.6335561959334,0,66.4715534002332,30.9015241897951,26.6812034422796,39.8968071882908
"HMI56_000010-T1",121.943148723722,100.987538698477,93.782584968015,83.7980891748506,115.656965101169,109.341521834161,81.0707538720571,87.4122830837586,85.7852585586595,79.2473487932214,148.74928100274,136.139755453331,103.253009037038,189.272343741793
